Match_id,Team,Home_Away,Outcome,Goals,Opponent,Team_penalties,Penalties_outcome,Team_points,Match_Stadium,Team_pic_urls,League,Goal_Difference,matchAttendance,matchCity,matchState,matchReferee,match_ast_referee1,match_ast_referee2,match_fourth_official,match_VAR,match_ast_VAR,Possession1,Shots2,Shots_on_Goal3,Blocked_Shots4,Total_Passes5,Passing_Accuracy6,Corners7,Crosses8,Offsides9,Duels_Won10,Won_Tackles11,Saves12,Clearances13,Fouls14,Yellow_Cards15,Red_Cards16,Overall17,Attacking_Half18,Final_Third19,Crosses20,Goals21,On_Target22,Off_Target23,Blocked24,Goals_Conceded25,Shots_Against26,Clean_Sheets27,XG_Conceded28,Interceptions29,Goals30,On_Target31,Off_Target32,Blocked33,Overall34,Attacking_Half35,Final_Third36,Crosses37
17,Houston,Away,T,2,Santos Laguna,5,W,2,Shell Energy Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/HOU_logo_Full_Color_480x480.png",MLS,0,"12,627",Houston, Texas,Ismael Cornejo,Geovany García Lima,Jose Mangandi,Lukasz Szpala,Diego Montaño Robles,Jorge Abraham Camacho Peregrina,61.8,12,6,1,514,88.1,2,12,2,35,10,8,24,10,0,0,88.1,81.7,81.2,21.4,2,6,5,1,2,19,0,1.9,7,2,6,5,1,88.1,81.7,81.2,21.4
18,Dallas,Home,W,3,Necaxa,0,NA,3,Toyota Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/DAL_logo_Full_Color_480x480.png",MLS,3,"6,149",Frisco, Texas,Joseph Dickerson,Kali Smith,Zachari Zeegelaar,Marcos de Oliveira,Allen Chapman,Tristley Bassue,59.3,10,3,3,428,85.8,3,8,4,37,4,3,13,20,2,0,85.8,72,67.5,18.2,3,3,4,3,0,8,1,0.6,1,3,3,4,3,85.8,72,67.5,18.2
18,Necaxa,Away,L,0,Dallas,0,NA,0,Toyota Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-NEX-480x480_r6drrw.png",Liga MX,3,"6,149",Frisco, Texas,Joseph Dickerson,Kali Smith,Zachari Zeegelaar,Marcos de Oliveira,Allen Chapman,Tristley Bassue,40.7,8,3,2,284,77.8,3,16,2,46,4,1,11,13,4,1,77.8,64.5,58.3,31.6,0,3,3,2,3,10,0,1.9,3,0,3,3,2,77.8,64.5,58.3,31.6
19,Mazatlán,Home,T,1,Juárez,4,W,2,Q2 Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-MAZ-480x480_jjpj81.png",Liga MX,0,958,Austin, Texas,Víctor Alfonso Cáceres Hernández,José Ibrahim Martínez Chavarría,Leonardo Javier Castillo Rodríguez,Abraham de Jesús Contreras,Óscar Mejía García,Mario Terrazas Chávez,41.5,8,2,1,363,82.9,6,6,1,40,11,2,18,13,0,0,82.9,78.1,71.6,30,1,2,5,1,1,13,0,0.5,7,1,2,5,1,82.9,78.1,71.6,30
19,Juárez,Away,T,1,Mazatlán,2 ,L,1,Q2 Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-FCJ-480x480_ocvco7.png",Liga MX,0,958,Austin, Texas,Víctor Alfonso Cáceres Hernández,José Ibrahim Martínez Chavarría,Leonardo Javier Castillo Rodríguez,Abraham de Jesús Contreras,Óscar Mejía García,Mario Terrazas Chávez,58.5,12,2,3,507,89,10,14,3,36,8,1,6,5,1,0,89,79.7,75.6,20.8,1,2,7,3,1,8,0,1.1,9,1,2,7,3,89,79.7,75.6,20.8
20,Montréal,Home,L,0,D.C.,0,NA,0,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/MTL_logo_Full_Color_480x480.png",MLS,1,"19,619",Montreal, QC,Filip Dujic,Jair de Jesús Sosa García,Helpys Feliz,Keylor Herrera Villalobos,Diego Montaño Robles,Jorge Abraham Camacho Peregrina,54.4,14,5,4,452,86.5,6,22,0,34,5,2,8,12,2,0,86.5,74.4,75.2,17.9,0,5,5,4,1,8,0,1.8,5,0,5,5,4,86.5,74.4,75.2,17.9
20,D.C.,Away,W,1,Montréal,0,NA,3,Stade Saputo,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/DC_logo_Full_Color_480x480.png",MLS,1,"19,619",Montreal, QC,Filip Dujic,Jair de Jesús Sosa García,Helpys Feliz,Keylor Herrera Villalobos,Diego Montaño Robles,Jorge Abraham Camacho Peregrina,45.6,8,3,2,393,83.2,3,9,3,43,6,4,38,8,1,0,83.2,74.3,68.6,33.3,1,3,3,2,0,14,1,1.2,11,1,3,3,2,83.2,74.3,68.6,33.3
21,New York City,Home,W,5,Toronto,0,NA,3,Red Bull Arena,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/NYC_logo_Full_Color_480x480.png",MLS,5,"7,417",Harrison, NJ,Guillermo Pacheco Larios,Enrique Martínez Sandoval,Jonathan Maximiliano Gómez Olmos,Iván Antonio López Sánchez,Allen Chapman,Tristley Bassue,50.6,11,8,1,524,90.7,4,8,1,38,9,1,13,10,1,0,90.7,79.9,78.4,9.1,5,8,2,1,0,5,1,0.6,3,5,8,2,1,90.7,79.9,78.4,9.1
21,Toronto,Away,L,0,New York City,0,NA,0,Red Bull Arena,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/TOR_logo_Full_Color_480x480.png",MLS,5,"7,417",Harrison, NJ,Guillermo Pacheco Larios,Enrique Martínez Sandoval,Jonathan Maximiliano Gómez Olmos,Iván Antonio López Sánchez,Allen Chapman,Tristley Bassue,49.4,5,1,1,512,88.3,3,10,1,40,12,3,17,8,2,1,88.3,78.2,78.9,25,0,1,3,1,5,11,0,1.7,7,0,1,3,1,88.3,78.2,78.9,25
22,Philadelphia,Home,W,5,Queretaro,0,NA,3,Subaru Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/mls/PHI_logo_Full_Color_480x480.png",MLS,4,"17,731",Chester, PA,Daneion Parchment,Caleb Wales,Nicholas Anderson,Kwinsi Williams,Óscar Mejía García,Mario Terrazas Chávez,50.3,12,6,2,356,80.9,4,4,2,47,7,3,6,15,2,0,80.9,71.8,66.1,25,5,6,4,2,1,9,0,0.8,10,5,6,4,2,80.9,71.8,66.1,25
22,Queretaro,Away,L,1,Philadelphia,0,NA,0,Subaru Park,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/Liga_MX_Logo-QRO-480x480_jprftz.png",Liga MX,4,"17,731",Chester, PA,Daneion Parchment,Caleb Wales,Nicholas Anderson,Kwinsi Williams,Óscar Mejía García,Mario Terrazas Chávez,49.7,9,4,2,353,77.6,5,7,1,48,12,1,16,17,1,0,77.6,69.2,67.4,10,1,4,3,2,5,12,0,2.1,7,1,4,3,2,77.6,69.2,67.4,10
23,San Luis,Home,L,1,New England,0,NA,0,Gillette Stadium,"https://images.mlssoccer.com/image/upload/w_700,h_700/assets/lc/logos/clubs/liga-mx/ASL_480_ymebbx.png",Liga MX,4,"12,327",Foxborough, MA,Rubiel Vazquez,Lyes Arfa,Jesus Lorenzo Soto Davila,Melvin Matamoros,Luis Enrique Santander Aguirre,Benjamin Whitty,48.2,15,7,5,472,88.8,6,14,4,33,10,4,8,10,2,0,88.8,79.5,79.6,26.3,1,7,3,5,5,17,0,1.4,6,1,7,3,5,88.8,79.5,79.6,26.3
